Position,Quantity (6/30/2020),Quantity (7/1/2020),Quantity (7/2/2020),Quantity (7/3/2020),Quantity (7/4/2020),Quantity (7/5/2020),Quantity (7/6/2020),Quantity (7/7/2020),Quantity (7/8/2020),Quantity (7/9/2020),Quantity (7/10/2020),Quantity (7/11/2020),Quantity (7/12/2020),Quantity (7/13/2020),Quantity (7/14/2020),Quantity (7/15/2020),Quantity (7/16/2020),Quantity (7/17/2020),Quantity (7/18/2020),Quantity (7/19/2020),Quantity (7/20/2020),Quantity (7/21/2020),Quantity (7/22/2020),Quantity (7/23/2020),Quantity (7/24/2020),Quantity (7/25/2020),Quantity (7/26/2020),Quantity (7/27/2020),Quantity (7/28/2020),Quantity (7/29/2020),Quantity (7/30/2020),Quantity (7/31/2020),Quantity (8/1/2020),Quantity (8/2/2020),Quantity (8/3/2020),Quantity (8/4/2020),Quantity (8/5/2020),Quantity (8/6/2020),Quantity (8/7/2020),Quantity (8/8/2020),Quantity (8/9/2020),Quantity (8/10/2020),Quantity (8/11/2020),Quantity (8/12/2020),Quantity (8/13/2020),Quantity (8/14/2020),Quantity (8/15/2020),Quantity (8/16/2020),Quantity (8/17/2020),Quantity (8/18/2020),Quantity (8/19/2020),Quantity (8/20/2020),Quantity (8/21/2020),Quantity (8/22/2020),Quantity (8/23/2020),Quantity (8/24/2020),Quantity (8/25/2020),Quantity (8/26/2020),Quantity (8/27/2020),Quantity (8/28/2020),Quantity (8/29/2020),Quantity (8/30/2020),Quantity (8/31/2020),Quantity (9/1/2020),Quantity (9/2/2020),Quantity (9/3/2020),Quantity (9/4/2020),Quantity (9/5/2020),Quantity (9/6/2020),Quantity (9/7/2020),Quantity (9/8/2020),Quantity (9/9/2020),Quantity (9/10/2020),Quantity (9/11/2020),Quantity (9/12/2020),Quantity (9/13/2020),Quantity (9/14/2020),Quantity (9/15/2020),Quantity (9/16/2020),Quantity (9/17/2020),Quantity (9/18/2020),Quantity (9/19/2020),Quantity (9/20/2020),Quantity (9/21/2020),Quantity (9/22/2020),Quantity (9/23/2020),Quantity (9/24/2020),Quantity (9/25/2020),Quantity (9/26/2020),Quantity (9/27/2020),Quantity (9/28/2020),Quantity (9/29/2020),Quantity (9/30/2020),Quantity (10/1/2020),Quantity (10/2/2020),Quantity (10/3/2020),Quantity (10/4/2020),Quantity (10/5/2020),Quantity (10/6/2020),Quantity (10/7/2020),Quantity (10/8/2020),Quantity (10/9/2020),Quantity (10/10/2020),Quantity (10/11/2020),Quantity (10/12/2020),Quantity (10/13/2020),Quantity (10/14/2020),Quantity (10/15/2020),Quantity (10/16/2020),Quantity (10/17/2020),Quantity (10/18/2020),Quantity (10/19/2020),Quantity (10/20/2020),Quantity (10/21/2020),Quantity (10/22/2020),Quantity (10/23/2020),Quantity (10/24/2020),Quantity (10/25/2020),Quantity (10/26/2020),Quantity (10/27/2020),Quantity (10/28/2020),Quantity (10/29/2020),Quantity (10/30/2020),Quantity (10/31/2020),Quantity (11/1/2020),Quantity (11/2/2020),Quantity (11/3/2020),Quantity (11/4/2020),Quantity (11/5/2020),Quantity (11/6/2020),Quantity (11/7/2020),Quantity (11/8/2020),Quantity (11/9/2020),Quantity (11/10/2020),Quantity (11/11/2020),Quantity (11/12/2020),Quantity (11/13/2020),Quantity (11/14/2020),Quantity (11/15/2020),Quantity (11/16/2020),Quantity (11/17/2020),Quantity (11/18/2020),Quantity (11/19/2020),Quantity (11/20/2020),Quantity (11/21/2020),Quantity (11/22/2020),Quantity (11/23/2020),Quantity (11/24/2020),Quantity (11/25/2020),Quantity (11/26/2020),Quantity (11/27/2020),Quantity (11/28/2020),Quantity (11/29/2020),Quantity (11/30/2020),Quantity (12/1/2020),Quantity (12/2/2020),Quantity (12/3/2020),Quantity (12/4/2020),Quantity (12/5/2020),Quantity (12/6/2020),Quantity (12/7/2020),Quantity (12/8/2020),Quantity (12/9/2020),Quantity (12/10/2020),Quantity (12/11/2020),Quantity (12/12/2020),Quantity (12/13/2020),Quantity (12/14/2020),Quantity (12/15/2020),Quantity (12/16/2020),Quantity (12/17/2020),Quantity (12/18/2020),Quantity (12/19/2020),Quantity (12/20/2020),Quantity (12/21/2020),Quantity (12/22/2020),Quantity (12/23/2020),Quantity (12/24/2020),Quantity (12/25/2020),Quantity (12/26/2020),Quantity (12/27/2020),Quantity (12/28/2020),Quantity (12/29/2020),Quantity (12/30/2020),Quantity (12/31/2020),Quantity (1/1/2021),Quantity (1/2/2021),Quantity (1/3/2021),Quantity (1/4/2021),Quantity (1/5/2021),Quantity (1/6/2021),Quantity (1/7/2021),Quantity (1/8/2021),Quantity (1/9/2021),Quantity (1/10/2021),Quantity (1/11/2021),Quantity (1/12/2021),Quantity (1/13/2021),Quantity (1/14/2021),Quantity (1/15/2021),Quantity (1/16/2021),Quantity (1/17/2021),Quantity (1/18/2021),Quantity (1/19/2021),Quantity (1/20/2021),Quantity (1/21/2021),Quantity (1/22/2021),Quantity (1/23/2021),Quantity (1/24/2021),Quantity (1/25/2021),Quantity (1/26/2021),Quantity (1/27/2021),Quantity (1/28/2021),Quantity (1/29/2021),Quantity (1/30/2021),Quantity (1/31/2021),Quantity (2/1/2021),Quantity (2/2/2021),Quantity (2/3/2021),Quantity (2/4/2021),Quantity (2/5/2021),Quantity (2/6/2021),Quantity (2/7/2021),Quantity (2/8/2021),Quantity (2/9/2021),Quantity (2/10/2021),Quantity (2/11/2021),Quantity (2/12/2021),Quantity (2/13/2021),Quantity (2/14/2021),Quantity (2/15/2021),Quantity (2/16/2021),Quantity (2/17/2021),Quantity (2/18/2021),Quantity (2/19/2021),Quantity (2/20/2021),Quantity (2/21/2021),Quantity (2/22/2021),Quantity (2/23/2021),Quantity (2/24/2021),Quantity (2/25/2021),Quantity (2/26/2021),Quantity (2/27/2021),Quantity (2/28/2021),Quantity (3/1/2021),Quantity (3/2/2021),Quantity (3/3/2021),Quantity (3/4/2021),Quantity (3/5/2021),Quantity (3/6/2021),Quantity (3/7/2021),Quantity (3/8/2021),Quantity (3/9/2021),Quantity (3/10/2021),Quantity (3/11/2021),Quantity (3/12/2021),Quantity (3/13/2021),Quantity (3/14/2021),Quantity (3/15/2021),Quantity (3/16/2021),Quantity (3/17/2021),Quantity (3/18/2021),Quantity (3/19/2021),Quantity (3/20/2021),Quantity (3/21/2021),Quantity (3/22/2021),Quantity (3/23/2021),Quantity (3/24/2021),Quantity (3/25/2021),Quantity (3/26/2021),Quantity (3/27/2021),Quantity (3/28/2021),Quantity (3/29/2021),Quantity (3/30/2021),Quantity (3/31/2021),Quantity (4/1/2021),Quantity (4/2/2021),Quantity (4/3/2021),Quantity (4/4/2021),Quantity (4/5/2021),Quantity (4/6/2021),Quantity (4/7/2021),Quantity (4/8/2021),Quantity (4/9/2021),Quantity (4/10/2021),Quantity (4/11/2021),Quantity (4/12/2021),Quantity (4/13/2021),Quantity (4/14/2021),Quantity (4/15/2021),Quantity (4/16/2021),Quantity (4/17/2021),Quantity (4/18/2021),Quantity (4/19/2021),Quantity (4/20/2021),Quantity (4/21/2021),Quantity (4/22/2021),Quantity (4/23/2021),Quantity (4/24/2021),Quantity (4/25/2021),Quantity (4/26/2021),Quantity (4/27/2021),Quantity (4/28/2021),Quantity (4/29/2021),Quantity (4/30/2021),Quantity (5/1/2021),Quantity (5/2/2021),Quantity (5/3/2021),Quantity (5/4/2021),Quantity (5/5/2021),Quantity (5/6/2021),Quantity (5/7/2021),Quantity (5/8/2021),Quantity (5/9/2021),Quantity (5/10/2021),Quantity (5/11/2021),Quantity (5/12/2021),Quantity (5/13/2021),Quantity (5/14/2021),Quantity (5/15/2021),Quantity (5/16/2021),Quantity (5/17/2021),Quantity (5/18/2021),Quantity (5/19/2021),Quantity (5/20/2021),Quantity (5/21/2021),Quantity (5/22/2021),Quantity (5/23/2021),Quantity (5/24/2021),Quantity (5/25/2021),Quantity (5/26/2021),Quantity (5/27/2021),Quantity (5/28/2021),Quantity (5/29/2021),Quantity (5/30/2021),Quantity (5/31/2021),Quantity (6/1/2021),Quantity (6/2/2021),Quantity (6/3/2021),Quantity (6/4/2021),Quantity (6/5/2021),Quantity (6/6/2021),Quantity (6/7/2021),Quantity (6/8/2021),Quantity (6/9/2021),Quantity (6/10/2021),Quantity (6/11/2021),Quantity (6/12/2021),Quantity (6/13/2021),Quantity (6/14/2021),Quantity (6/15/2021),Quantity (6/16/2021),Quantity (6/17/2021),Quantity (6/18/2021),Quantity (6/19/2021),Quantity (6/20/2021),Quantity (6/21/2021),Quantity (6/22/2021),Quantity (6/23/2021),Quantity (6/24/2021),Quantity (6/25/2021),Quantity (6/26/2021),Quantity (6/27/2021),Quantity (6/28/2021),Quantity (6/29/2021),Quantity (6/30/2021)
iShares Core S&P Mid Cap ETF,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
iShares MSCI EAFE Growth ETF,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,775,775,775,775,775,775,775,775,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695
iShares MSCI Emerging Markets ETF,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
Ishars Edg MSCI USA QLTY FCTR ETF,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
J P Morgan Chase & Co,600,600,600,600,600,600,600,600,500,500,500,500,500,500,500,440,440,440,440,440,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,265,265,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235,235
Jabil Circuit Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Johnson & Johnson,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
JPMorgan Ultra SHRT Muncipl Incm ETF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,7250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250
Kroger Co,1000,1000,800,800,800,800,800,800,700,700,700,700,700,700,700,700,700,700,700,700,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
L3harris Technologies In,250,250,250,250,250,250,250,250,200,200,200,200,200,200,200,200,200,200,200,200,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,125,125,125,125,125,125,125,100,100,100,100,100,100,100,100,100,100,90,90,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Marathon Pete Corp,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
